event,time,sample_num,sample_pct,turnstile_num,turnstile_pct
eng_sco,17:00,9,5.42%,0,0.00%
eng_sco,17:15,19,11.45%,925,4.59%
eng_sco,17:30,10,6.02%,1259,6.24%
eng_sco,17:45,16,9.64%,1235,6.12%
eng_sco,18:00,15,9.04%,1508,7.48%
eng_sco,18:15,13,7.83%,1819,9.02%
eng_sco,18:30,22,13.25%,1952,9.68%
eng_sco,18:45,14,8.43%,2538,12.59%
eng_sco,19:00,19,11.45%,2922,14.49%
eng_sco,19:15,20,12.05%,2750,13.64%
eng_sco,19:30,5,3.01%,2119,10.51%
eng_sco,19:45,2,1.20%,873,4.33%
eng_sco,20:00,0,0.00%,194,0.96%
eng_sco,20:15,0,0.00%,57,0.28%
eng_sco,20:30,2,1.20%,15,0.07%
eng_ger,14:00,4,1.47%,247,0.59%
eng_ger,14:15,11,4.04%,988,2.37%
eng_ger,14:30,11,4.04%,1330,3.19%
eng_ger,14:45,20,7.35%,1732,4.16%
eng_ger,15:00,19,6.99%,2202,5.29%
eng_ger,15:15,31,11.40%,2640,6.34%
eng_ger,15:30,43,15.81%,4011,9.63%
eng_ger,15:45,38,13.97%,5612,13.47%
eng_ger,16:00,41,15.07%,7596,18.23%
eng_ger,16:15,30,11.03%,8061,19.35%
eng_ger,16:30,12,4.41%,4619,11.09%
eng_ger,16:45,7,2.57%,1898,4.56%
eng_ger,17:00,2,0.74%,556,1.33%
eng_ger,17:15,1,0.37%,128,0.31%
eng_ger,17:30,2,0.74%,43,0.10%
ita_spa,17:00,11,3.04%,442,0.76%
ita_spa,17:15,27,7.46%,1308,2.26%
ita_spa,17:30,20,5.52%,1965,3.40%
ita_spa,17:45,32,8.84%,2840,4.91%
ita_spa,18:00,37,10.22%,3437,5.94%
ita_spa,18:15,44,12.15%,4542,7.85%
ita_spa,18:30,45,12.43%,6353,10.98%
ita_spa,18:45,50,13.81%,8013,13.85%
ita_spa,19:00,33,9.12%,7885,13.63%
ita_spa,19:15,37,10.22%,8304,14.35%
ita_spa,19:30,14,3.87%,7088,12.25%
ita_spa,19:45,8,2.21%,3801,6.57%
ita_spa,20:00,4,1.10%,1290,2.23%
ita_spa,20:15,0,0.00%,428,0.74%
ita_spa,20:30,0,0.00%,163,0.28%
eng_ita,17:00,12,3.15%,2786,4.35%
eng_ita,17:15,32,8.40%,2886,4.50%
eng_ita,17:30,44,11.55%,1483,2.31%
eng_ita,17:45,57,14.96%,2867,4.47%
eng_ita,18:00,49,12.86%,7435,11.60%
eng_ita,18:15,31,8.14%,5826,9.09%
eng_ita,18:30,59,15.49%,7472,11.66%
eng_ita,18:45,33,8.66%,6700,10.46%
eng_ita,19:00,29,7.61%,6401,9.99%
eng_ita,19:15,13,3.41%,8548,13.34%
eng_ita,19:30,7,1.84%,7537,11.76%
eng_ita,19:45,1,0.26%,3606,5.63%
eng_ita,20:00,7,1.84%,504,0.79%
eng_ita,20:15,7,1.84%,30,0.05%